Start Date,End Date,Year,Week,COVID-19 Deaths
12/29/2019,01/04/2020,2019/2020,1.0,0.0
01/05/2020,01/11/2020,2020,2.0,1.0
01/12/2020,01/18/2020,2020,3.0,2.0
01/19/2020,01/25/2020,2020,4.0,3.0
01/26/2020,02/01/2020,2020,5.0,0.0
02/02/2020,02/08/2020,2020,6.0,4.0
02/09/2020,02/15/2020,2020,7.0,6.0
02/16/2020,02/22/2020,2020,8.0,6.0
02/23/2020,02/29/2020,2020,9.0,9.0
03/01/2020,03/07/2020,2020,10.0,38.0
03/08/2020,03/14/2020,2020,11.0,60.0
03/15/2020,03/21/2020,2020,12.0,588.0
03/22/2020,03/28/2020,2020,13.0,3226.0
03/29/2020,04/04/2020,2020,14.0,10141.0
04/05/2020,04/11/2020,2020,15.0,16347.0
04/12/2020,04/18/2020,2020,16.0,17221.0
04/19/2020,04/25/2020,2020,17.0,15557.0
04/26/2020,05/02/2020,2020,18.0,13223.0
05/03/2020,05/09/2020,2020,19.0,11243.0
05/10/2020,05/16/2020,2020,20.0,9239.0
05/17/2020,05/23/2020,2020,21.0,7249.0
05/24/2020,05/30/2020,2020,22.0,6176.0
05/31/2020,06/06/2020,2020,23.0,5060.0
06/07/2020,06/13/2020,2020,24.0,4233.0
06/14/2020,06/20/2020,2020,25.0,3852.0
06/21/2020,06/27/2020,2020,26.0,3846.0
06/28/2020,07/04/2020,2020,27.0,4557.0
07/05/2020,07/11/2020,2020,28.0,5786.0
07/12/2020,07/18/2020,2020,29.0,7198.0
07/19/2020,07/25/2020,2020,30.0,8250.0
07/26/2020,08/01/2020,2020,31.0,8308.0
08/02/2020,08/08/2020,2020,32.0,7870.0
08/09/2020,08/15/2020,2020,33.0,7270.0
08/16/2020,08/22/2020,2020,34.0,6389.0
08/23/2020,08/29/2020,2020,35.0,5755.0
08/30/2020,09/05/2020,2020,36.0,5021.0
09/06/2020,09/12/2020,2020,37.0,4628.0
09/13/2020,09/19/2020,2020,38.0,4280.0
09/20/2020,09/26/2020,2020,39.0,4305.0
09/27/2020,10/03/2020,2020,40.0,4246.0
10/04/2020,10/10/2020,2020,41.0,4823.0
10/11/2020,10/17/2020,2020,42.0,5204.0
10/18/2020,10/24/2020,2020,43.0,6000.0
10/25/2020,10/31/2020,2020,44.0,7031.0
11/01/2020,11/07/2020,2020,45.0,8766.0
11/08/2020,11/14/2020,2020,46.0,10654.0
11/15/2020,11/21/2020,2020,47.0,13365.0
11/22/2020,11/28/2020,2020,48.0,15628.0
11/29/2020,12/05/2020,2020,49.0,18578.0
12/06/2020,12/12/2020,2020,50.0,20940.0
12/13/2020,12/19/2020,2020,51.0,22342.0
12/20/2020,12/26/2020,2020,52.0,23399.0
12/27/2020,01/02/2021,2020/2021,53.0,24895.0
01/03/2021,01/09/2021,2021,1.0,26028.0
01/10/2021,01/16/2021,2021,2.0,25743.0
01/17/2021,01/23/2021,2021,3.0,23734.0
01/24/2021,01/30/2021,2021,4.0,20363.0
01/31/2021,02/06/2021,2021,5.0,17069.0
02/07/2021,02/13/2021,2021,6.0,13551.0
02/14/2021,02/20/2021,2021,7.0,10835.0
02/21/2021,02/27/2021,2021,8.0,8675.0
02/28/2021,03/06/2021,2021,9.0,6742.0
03/07/2021,03/13/2021,2021,10.0,5734.0
03/14/2021,03/20/2021,2021,11.0,4912.0
03/21/2021,03/27/2021,2021,12.0,4465.0
03/28/2021,04/03/2021,2021,13.0,4213.0
04/04/2021,04/10/2021,2021,14.0,4325.0
04/11/2021,04/17/2021,2021,15.0,4461.0
04/18/2021,04/24/2021,2021,16.0,4615.0
04/25/2021,05/01/2021,2021,17.0,4181.0
05/02/2021,05/08/2021,2021,18.0,4015.0
05/09/2021,05/15/2021,2021,19.0,3694.0
05/16/2021,05/22/2021,2021,20.0,3246.0
05/23/2021,05/29/2021,2021,21.0,2783.0
05/30/2021,06/05/2021,2021,22.0,2353.0
06/06/2021,06/12/2021,2021,23.0,2049.0
06/13/2021,06/19/2021,2021,24.0,1783.0
06/20/2021,06/26/2021,2021,25.0,1642.0
06/27/2021,07/03/2021,2021,26.0,1549.0
07/04/2021,07/10/2021,2021,27.0,1650.0
07/11/2021,07/17/2021,2021,28.0,1996.0
07/18/2021,07/24/2021,2021,29.0,2770.0
07/25/2021,07/31/2021,2021,30.0,4126.0
08/01/2021,08/07/2021,2021,31.0,6503.0
08/08/2021,08/14/2021,2021,32.0,9425.0
08/15/2021,08/21/2021,2021,33.0,12207.0
08/22/2021,08/28/2021,2021,34.0,14212.0
08/29/2021,09/04/2021,2021,35.0,15539.0
09/05/2021,09/11/2021,2021,36.0,15453.0
09/12/2021,09/18/2021,2021,37.0,15246.0
09/19/2021,09/25/2021,2021,38.0,14375.0
09/26/2021,10/02/2021,2021,39.0,12858.0
10/03/2021,10/09/2021,2021,40.0,11199.0
10/10/2021,10/16/2021,2021,41.0,9902.0
10/17/2021,10/23/2021,2021,42.0,8957.0
10/24/2021,10/30/2021,2021,43.0,7975.0
10/31/2021,11/06/2021,2021,44.0,7302.0
11/07/2021,11/13/2021,2021,45.0,7174.0
11/14/2021,11/20/2021,2021,46.0,7326.0
11/21/2021,11/27/2021,2021,47.0,7897.0
11/28/2021,12/04/2021,2021,48.0,8792.0
12/05/2021,12/11/2021,2021,49.0,9744.0
12/12/2021,12/18/2021,2021,50.0,10268.0
12/19/2021,12/25/2021,2021,51.0,10476.0
12/26/2021,01/01/2022,2021/2022,52.0,11701.0
01/02/2022,01/08/2022,2022,1.0,15157.0
01/09/2022,01/15/2022,2022,2.0,19134.0
01/16/2022,01/22/2022,2022,3.0,21397.0
01/23/2022,01/29/2022,2022,4.0,21027.0
01/30/2022,02/05/2022,2022,5.0,18800.0
02/06/2022,02/12/2022,2022,6.0,15358.0
02/13/2022,02/19/2022,2022,7.0,11595.0
02/20/2022,02/26/2022,2022,8.0,8304.0
02/27/2022,03/05/2022,2022,9.0,6056.0
03/06/2022,03/12/2022,2022,10.0,4413.0
03/13/2022,03/19/2022,2022,11.0,3133.0
03/20/2022,03/26/2022,2022,12.0,2512.0
03/27/2022,04/02/2022,2022,13.0,1911.0
04/03/2022,04/09/2022,2022,14.0,1559.0
04/10/2022,04/16/2022,2022,15.0,1411.0
04/17/2022,04/23/2022,2022,16.0,1347.0
04/24/2022,04/30/2022,2022,17.0,1427.0
05/01/2022,05/07/2022,2022,18.0,1433.0
05/08/2022,05/14/2022,2022,19.0,1678.0
05/15/2022,05/21/2022,2022,20.0,1747.0
05/22/2022,05/28/2022,2022,21.0,1944.0
05/29/2022,06/04/2022,2022,22.0,2011.0
06/05/2022,06/11/2022,2022,23.0,2142.0
06/12/2022,06/18/2022,2022,24.0,2200.0
06/19/2022,06/25/2022,2022,25.0,2335.0
06/26/2022,07/02/2022,2022,26.0,2429.0
07/03/2022,07/09/2022,2022,27.0,2592.0
07/10/2022,07/16/2022,2022,28.0,2937.0
07/17/2022,07/23/2022,2022,29.0,3237.0
07/24/2022,07/30/2022,2022,30.0,3407.0
07/31/2022,08/06/2022,2022,31.0,3382.0
08/07/2022,08/13/2022,2022,32.0,3291.0
08/14/2022,08/20/2022,2022,33.0,3171.0
08/21/2022,08/27/2022,2022,34.0,3055.0
08/28/2022,09/03/2022,2022,35.0,2931.0
09/04/2022,09/10/2022,2022,36.0,2813.0
09/11/2022,09/17/2022,2022,37.0,2520.0
09/18/2022,09/24/2022,2022,38.0,2550.0
09/25/2022,10/01/2022,2022,39.0,2382.0
10/02/2022,10/08/2022,2022,40.0,2197.0
10/09/2022,10/15/2022,2022,41.0,2149.0
10/16/2022,10/22/2022,2022,42.0,2199.0
10/23/2022,10/29/2022,2022,43.0,2246.0
10/30/2022,11/05/2022,2022,44.0,2250.0
11/06/2022,11/12/2022,2022,45.0,2206.0
11/13/2022,11/19/2022,2022,46.0,2258.0
11/20/2022,11/26/2022,2022,47.0,2503.0
11/27/2022,12/03/2022,2022,48.0,2599.0
12/04/2022,12/10/2022,2022,49.0,3042.0
12/11/2022,12/17/2022,2022,50.0,3194.0
12/18/2022,12/24/2022,2022,51.0,3325.0
12/25/2022,12/31/2022,2022,52.0,3668.0
